"name"	"mz"	"01_sample"	"02_sample"	"03_sample"	"04_sample"	"05_sample"	"06_sample"	"07_sample"	"08_sample"	"09_sample"	"10_sample"	"23_pool"	"24_pool"	"71_blank"	"72_blank"
"LPC_24:0_[M+Cl]1-"	642.4271	0	0	0	0	0	0	0.0168999999999642	0	0	0.00940000000002783	0	0	0.0153000000000247	0
"Cer_39:1_[M+Cl]1-"	642.5597	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LPI_22:6_[M-H]1-"	643.2889	0	0	-0.00909999999998945	-0.000900000000001455	0	0	0	0	0	0	0	0	0	0
"PA_32:2_[M-H]1-"	643.4344	-0.00869999999997617	0	0	0	0	-0.00560000000007221	-0.000200000000063483	0	0	0.00519999999994525	-0.00990000000001601	-0.00990000000001601	0	-0.00940000000002783
"PE_29:2_[M-H]1-"	644.4297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE-P_30:1_[M-H]1-"	644.4661	0	0	0	0	0	0	0	0	0	0	0	-0.00229999999999109	0	0
"PA_32:1_[M-H]1-"	645.4501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE_29:1_[M-H]1-"	646.4453	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE-O_30:1_[M-H]1-"	646.4817	0	0	0	0	0	0.00830000000007658	0	0	0	0	0	0	0	0
"Cer_42:2_[M-H]1-"	646.6144	0	0	0.00130000000001473	0.00280000000009295	0.000600000000076761	0.00870000000008986	0.00830000000007658	0	-0.00129999999990105	-0.000900000000001455	0	0	0	0
"LPI_22:4_[M-H]1-"	647.3202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PA_32:0_[M-H]1-"	647.4657	0	0	-0.00950000000000273	0	0	0	0	0.00799999999992451	-0.00900000000001455	0	0	0	0	0
"PS_26:1_[M-H]1-"	648.3882	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE_29:0_[M-H]1-"	648.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE-O_30:0_[M-H]1-"	648.4974	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cer_38:3_[M+OAC]1-"	648.5572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cer_42:1_[M-H]1-"	648.63	0	0	0.00120000000003984	0.00750000000005002	0.00540000000000873	-0.00599999999997181	0.00789999999994961	0.00829999999996289	0.00789999999994961	-0.00189999999997781	0	0	0	0
"PG_27:1_[M-H]1-"	649.4086	0	0	0	0	-0.0079000000000633	0	0	0	-0.00880000000006476	0	0	0	0	0.00919999999996435
"PG-P_28:0_[M-H]1-"	649.445	0	0	0	0	0	-0.00849999999991269	0	-0.00829999999996289	0.00820000000010168	0	0	0	0	0
