mz	name
618.4504	PE-P_28:0_[M-H]1-
618.5831	Cer_40:2_[M-H]1-
619.2889	LPI_20:4_[M-H]1-
619.4344	PA_30:0_[M-H]1-
620.4297	PE_27:0_[M-H]1-
620.4661	PE-O_28:0_[M-H]1-
620.5259	Cer_36:3_[M+OAC]1-
620.5987	Cer_40:1_[M-H]1-
621.3045	LPI_20:3_[M-H]1-
622.3726	PC_20:1_[M+OAC]1- / PS_24:0_[M-H]1-
622.4089	PC-O_21:1_[M+OAC]1-
622.5416	Cer_36:2_[M+OAC]1-
623.3202	LPI_20:2_[M-H]1-
623.393	PG_25:0_[M-H]1-
624.3882	PC_20:0_[M+OAC]1-
624.4246	PC-O_21:0_[M+OAC]1-
624.5128	Cer_38:3_[M+Cl]1-
624.5572	Cer_36:1_[M+OAC]1-
624.7036	2H-IS_Cer_[M+OAc]1-
625.3358	LPI_20:1_[M-H]1-
625.3875	PA_31:4_[M-H]1-
625.7094	2H-IS_Cer_[M+OAc]1-
626.3463	LPC_22:6_[M+OAC]1-
626.3594	PC_22:1_[M+Cl]1-
626.5284	Cer_38:2_[M+Cl]1-
626.715	2H-IS_Cer_[M+OAc]1-
627.3515	LPI_20:0_[M-H]1-
627.4031	PA_31:3_[M-H]1-
627.7205	2H-IS_Cer_[M+OAc]1-
628.3751	PC_22:0_[M+Cl]1-
628.4478	LPC-2O_24:0_[M+Cl]1-
628.5441	Cer_38:1_[M+Cl]1-
628.6842	2H-IS_Cer_[M+OAc]1-
629.4188	PA_31:2_[M-H]1-
629.6899	2H-IS_Cer_[M+OAc]1-
630.3776	LPC_22:4_[M+OAC]1-
630.414	PE_28:2_[M-H]1-
630.6955	2H-IS_Cer_[M+OAc]1-
631.4344	PA_31:1_[M-H]1-
632.4297	PE_28:1_[M-H]1-
632.4661	PE-P_29:0_[M-H]1-
632.5987	Cer_41:2_[M-H]1-
633.4501	PA_31:0_[M-H]1-
634.4089	LPC_22:2_[M+OAC]1-
634.4453	PE_28:0_[M-H]1-
634.4817	PE-O_29:0_[M-H]1-
634.6144	Cer_41:1_[M-H]1-
635.393	PG_26:1_[M-H]1-
636.3882	PC_21:1_[M+OAC]1- / PS_25:0_[M-H]1-
636.4246	LPC_22:1_[M+OAC]1-
636.5572	Cer_37:2_[M+OAC]1-
637.3875	PA_32:5_[M-H]1-
637.4086	PG_26:0_[M-H]1-
638.4039	PC_21:0_[M+OAC]1-
638.4402	PC-O_22:0_[M+OAC]1-
638.5729	Cer_37:1_[M+OAC]1-
639.4031	PA_32:4_[M-H]1-
640.5441	Cer_39:2_[M+Cl]1-
641.3671	LPI_21:0_[M-H]1-
641.4188	PA_32:3_[M-H]1-
642.4271	LPC_24:0_[M+Cl]1-
